Assets/_Temp/FrontUI.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/LeagueMarkAtlas/LeagueMarkAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/MainAtlas/MainAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/MainAtlas/OutGameAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/MyFont.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/OutGameDirectionAtlas/DirectionAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/PopupAtlas/PopupAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/ShopAtlas/ShopAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/SkillIcon/SkillIconAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Atlas/TeamAtlas/TeamLogoAtlas.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Ballers/baller1001.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Ballers/baller1049.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Ballers/baller1050.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Ballers/baller1051.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Ballers/baller1052.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Ballers/baller1053.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Ballers/baller1054.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol Data/fontCol.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol Data/fredokaone_btm data.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol Data/fredokaone_btm.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol2 Data/fontCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol2 Data/fredokaone_btm2 data.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol2 Data/fredokaone_btm2.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol2.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol3 Data/dk_btm data.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol3 Data/dk_btm.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol3 Data/fontCol3.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol3.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol44 Data/fontCol44.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol44 Data/kanit44 data.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol44 Data/kanit44.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmap/fontCol44.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/bitmapFontNum.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/Font/teamLineUpNumberFont.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/anim/tk2dAnim/Crowd/CrowdAnim.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/anim/tk2dAnim/UI/uiAnim.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/ballplayPrefab/ballplayManager.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/ballplayPrefab/LevelLoader.prefab: nativeWidgets=0; missingScripts=1
Assets/Resources/MainGame/prefabs/ballplayPrefab/loadingPagePrefab.prefab: nativeWidgets=11; missingScripts=0
Assets/Resources/MainGame/prefabs/ballplayPrefab/onlySimul.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/ballplayPrefab/onlySimulBackPrefab.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/ballplayPrefab/playManager.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/ballplayPrefab/PvpManager.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/ballplayPrefab/skillEffectDisplayManager.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/ballplayPrefab/temp.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/ballTracePrefab.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/batterPrefab.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/battingViewPrefab.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bballPrefab.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg/centerBGPrefab1.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg/centerBGPrefab12.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg/centerBGPrefab2.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg/centerBGPrefab4.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg/centerBGPrefab5.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg/centerBGPrefab6.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg_side/leftBGPrefab1.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg_side/leftBGPrefab12.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg_side/leftBGPrefab2.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg_side/leftBGPrefab4.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg_side/leftBGPrefab5.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg_side/leftBGPrefab6.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg_side/rightBGPrefab1.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg_side/rightBGPrefab12.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg_side/rightBGPrefab2.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg_side/rightBGPrefab4.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg_side/rightBGPrefab5.prefab: nativeWidgets=0; missingScripts=0
Assets/Resources/MainGame/prefabs/BattingViewPrefab/bg_side/rightBGPrefab6.prefab: nativeWidgets=0; missingScripts=0
